法院,案件数量
上海市浦东新区人民法院,492
上海市静安区人民法院,166
深圳市福田区人民法院,156
上海市青浦区人民法院,137
上海市第一中级人民法院,130
上海市第二中级人民法院,123
上海市嘉定区人民法院,109
浙江省劳动人事争议仲裁委员会,105
苏州工业园区人民法院,102
江苏省苏州市中级人民法院,95
安宁市人民法院,90
广州市黄埔区人民法院,88
如皋市人民法院,86
上海市徐汇区人民法院,82
南京市栖霞区人民法院,81
长沙市岳麓区人民法院,74
广东省深圳市中级人民法院,73
扬州市邗江区人民法院,73
江苏省南京市中级人民法院,63
沈阳市大东区人民法院,63
上海市闵行区人民法院,60
昆山市人民法院,59
上海市黄浦区人民法院,58
上海市长宁区人民法院,55
北京市朝阳区人民法院,47
无锡市新吴区人民法院,47
常州市新北区人民法院,47
广东省广州市中级人民法院,47
上海市奉贤区人民法院,46
临沭县人民法院,46
广州市天河区人民法院,45
镇江经济开发区人民法院,45
辽宁省沈阳市中级人民法院,45
江苏省无锡市中级人民法院,44
上海海事法院,43
太仓市人民法院,42
上海市杨浦区人民法院,42
张家港市人民法院,41
沈阳市沈北新区人民法院,39
天津市滨海新区人民法院,38
上海市松江区人民法院,37
上海知识产权法院,36
广州市荔湾区人民法院,36
咸阳市杨陵区人民法院,36
北京互联网法院,34
深圳市龙岗区人民法院,33
上海市普陀区人民法院,32
上海市高级人民法院,30
郑州高新技术产业开发区人民法院,29
江阴市人民法院,29
湖北省武汉市中级人民法院,29
上海市浦东区人民法院,28
北京知识产权法院,28
日照经济技术开发区人民法院,28
句容市人民法院,27
宁波市鄞州区人民法院,27
重庆市江北区人民法院,27
上海市青浦区人民法院、上海市第二中级人民法院,27
上海市虹口区人民法院,26
浙江省宁波市中级人民法院,25
北京市顺义区人民法院,25
重庆市渝北区人民法院,24
江苏省常州市中级人民法院,23
厦门市湖里区人民法院,23
江苏省高级人民法院,22
琼海市人民法院,22
广州市南沙区人民法院,21
天津市西青区人民法院,21
广州市增城区人民法院,21
佛山市禅城区人民法院,21
山东省日照市中级人民法院,21
深圳市南山区人民法院,20
南京市江宁区人民法院,19
北京市第三中级人民法院,19
上海市金山区人民法院,19
杭州市萧山区人民法院,19
深圳市宝安区人民法院,19
武汉经济技术开发区人民法院,19
上海市宝山区人民法院,18
广州市越秀区人民法院,18
河南省郑州市中级人民法院,18
武汉东湖新技术开发区人民法院,17
杭州市余杭区人民法院,17
嘉兴市南湖区人民法院,17
平湖市人民法院,17
江苏省江宁经济技术开发区人民法院,17
重庆市长寿区人民法院,17
盘锦市大洼区人民法院,17
合肥高新技术产业开发区人民法院,16
常州市金坛区人民法院,16
深圳市罗湖区人民法院,16
沈阳市沈河区人民法院,16
苏州市吴江区人民法院,15
北京市海淀区人民法院,15
广州海事法院,15
南京江北新区人民法院,15
常州市武进区人民法院,14
上海市浦东新区人民法院、上海市浦东区人民法院,14
浙江省嘉兴市中级人民法院,14
北京市大兴区人民法院,14
大连市中山区人民法院,14
连云港市海州区人民法院,14
广东省深圳市中级人民法院、深圳市福田区人民法院,14
广东省高级人民法院,14
长春经济技术开发区人民法院,14
开封市金明区人民法院,14
苏州市吴中区人民法院,13
深圳市盐田区人民法院,13
荆门市东宝区人民法院,13
天津市第三中级人民法院,12
重庆市第一中级人民法院,12
慈溪市人民法院,12
南京市溧水区人民法院,12
浙江省杭州市中级人民法院,12
苏州市虎丘区人民法院,12
辽宁省大连市中级人民法院,12
上海市长宁区法院,12
天津市第一中级人民法院,12
广州市白云区人民法院,12
天津市武清区人民法院,12
江苏省南通市中级人民法院,12
南京市栖霞区人民法院、江苏省南京市中级人民法院,12
宁波市北仑区人民法院,11
江苏省扬州市中级人民法院,11
四川省成都市中级人民法院,11
深圳市龙华区人民法院,11
江苏省镇江市中级人民法院,11
武汉市蔡甸区人民法院,11
扬州经济技术开发区人民法院,11
宁波市镇海区人民法院,11
西安市长安区人民法院,11
中山市第一人民法院,10
常熟市人民法院,10
最高人民法院,10
珠海市金湾区人民法院,10
南京市秦淮区人民法院,10
北京市第二中级人民法院,10
新疆维吾尔自治区高级人民法院,10
上海铁路运输法院,10
浙江省温州市中级人民法院,10
宁波市江北区人民法院,9
广州知识产权法院,9
上海市浦东新区人民法院、上海市第一中级人民法院,9
东莞市第三人民法院,9
宁夏回族自治区高级人民法院,9
北京市高级人民法院,9
上海市第三中级人民法院,9
沈阳市铁西区人民法院,9
佛山市顺德区人民法院,9
成都高新技术产业开发区人民法院,9
深圳市福田区人民法院、广东省深圳市中级人民法院,9
湖北省高级人民法院,9
无锡市梁溪区人民法院,9
杭州市西湖区人民法院,9
无锡高新技术产业开发区人民法院,8
湖南省长沙市中级人民法院,8
上海市崇明区人民法院,8
福建省厦门市中级人民法院,8
南京市雨花台区人民法院,8
重庆市九龙坡区人民法院,8
南京市鼓楼区人民法院,8
嘉兴市秀洲区人民法院,8
广州市黄埔区人民法院、广东省广州市中级人民法院,8
江苏省南通市中级人民法院、如皋市人民法院,8
宁波海事法院,8
重庆自由贸易试验区人民法院,7
襄阳高新技术产业开发区人民法院,7
天津市滨海新区人民法院、天津市第二中级人民法院,7
天津市第二中级人民法院,7
苏州市吴江区人民法院、江苏省苏州市中级人民法院,7
大连经济技术开发区人民法院,7
四川天府新区成都片区人民法院,7
十堰市茅箭区人民法院,7
常州经济开发区人民法院,7
宁波市海曙区人民法院,7
辽宁省高级人民法院,7
广州市番禺区人民法院,7
深圳前海合作区人民法院,7
前海合作区人民法院,7
长沙县人民法院,7
宜兴市人民法院,7
天津市南开区人民法院,7
东莞市第一人民法院,7
汕头市金平区人民法院,7
广东自由贸易区南沙片区人民法院,7
重庆市渝北区人民法院、重庆市第一中级人民法院,7
桂林市临桂区人民法院,7
杭州市钱塘区人民法院,7
杭州市上城区人民法院,7
仙桃市人民法院,7
山东省青岛市中级人民法院,7
瑞安市人民法院,7
宁波海事法院、浙江省高级人民法院,7
河南省高级人民法院,7
天津市高级人民法院,6
盐城经济技术开发区人民法院,6
广州互联网法院,6
安庆市大观区人民法院,6
广东省中山市中级人民法院,6
大连市沙河口区人民法院,6
广东省珠海市中级人民法院,6
无锡高新技术产业开发区人民法院、江苏省无锡市中级人民法院,6
武汉市汉阳区人民法院,6
重庆市渝中区人民法院,6
义乌市人民法院,6
武汉市武昌区人民法院,6
杭州市拱墅区人民法院,6
深圳市罗湖区人民法院、广东省深圳市中级人民法院,6
南通经济技术开发区人民法院,6
广东自由贸易区南沙片区人民法院、广州市南沙区人民法院,6
北京市顺义区人民法院、北京市第三中级人民法院,6
海口市琼山区人民法院,6
深圳市南山区人民法院、广东省深圳市中级人民法院,6
珠海市香洲区人民法院,6
重庆自由贸易试验区人民法院、天津市滨海新区人民法院,6
北京市西城区人民法院,6
老河口市人民法院,6
上海市金山区人民法院、上海市第一中级人民法院、上海市高级人民法院,6
河南省洛阳市中级人民法院,6
温州市瓯海区人民法院,6
张家港市人民法院、江苏省苏州市中级人民法院,6
威海火炬高技术产业开发区人民法院,6
山东省高级人民法院,5
广州市花都区人民法院,5
惠州市大亚湾经济技术开发区人民法院,5
佛山市南海区人民法院,5
江苏省徐州市中级人民法院,5
北京市丰台区人民法院,5
